Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 1 Url,Product Image 2 Url
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 40S 2-Piece,KCT-NAVY-40S-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,269.99,299.99,Size,40S,Type,2-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 40S 3-Piece,KCT-NAVY-40S-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,287.99,319.99,Size,40S,Type,3-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 42S 2-Piece,KCT-NAVY-42S-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,269.99,299.99,Size,42S,Type,2-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 42S 3-Piece,KCT-NAVY-42S-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,287.99,319.99,Size,42S,Type,3-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 40R 2-Piece,KCT-NAVY-40R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,269.99,299.99,Size,40R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 40R 3-Piece,KCT-NAVY-40R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,287.99,319.99,Size,40R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 42R 2-Piece,KCT-NAVY-42R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,269.99,299.99,Size,42R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 42R 3-Piece,KCT-NAVY-42R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,287.99,319.99,Size,42R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 44R 2-Piece,KCT-NAVY-44R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,269.99,299.99,Size,44R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
,suit-navy-2p,Navy Suit - 2 Piece,Premium Navy Suit from our core collection,"Classic navy suit featuring half-canvas construction, natural shoulder line, functional button holes, peak lapels, and two-button closure. Perfect for business, formal events, and weddings.",published,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,business-suits,suits,Navy,TRUE,,,Navy Suit 44R 3-Piece,KCT-NAVY-44R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,287.99,319.99,Size,44R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-navy-2p-front.jpg,https://kct-menswear.com/images/suits/suit-navy-2p-back.jpg
