Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Tag 2,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 1 Url,Product Image 2 Url
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,2-Piece,TRUE,,,Burgundy Suit 38R 2-Piece,KCT-BURGUNDY-38R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,165.59,179.99,Size,38R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,3-Piece,TRUE,,,Burgundy Suit 38R 3-Piece,KCT-BURGUNDY-38R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,183.99,199.99,Size,38R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,2-Piece,TRUE,,,Burgundy Suit 40R 2-Piece,KCT-BURGUNDY-40R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,165.59,179.99,Size,40R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,3-Piece,TRUE,,,Burgundy Suit 40R 3-Piece,KCT-BURGUNDY-40R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,183.99,199.99,Size,40R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,2-Piece,TRUE,,,Burgundy Suit 42R 2-Piece,KCT-BURGUNDY-42R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,165.59,179.99,Size,42R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,3-Piece,TRUE,,,Burgundy Suit 42R 3-Piece,KCT-BURGUNDY-42R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,183.99,199.99,Size,42R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,2-Piece,TRUE,,,Burgundy Suit 44R 2-Piece,KCT-BURGUNDY-44R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,165.59,179.99,Size,44R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,3-Piece,TRUE,,,Burgundy Suit 44R 3-Piece,KCT-BURGUNDY-44R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,183.99,199.99,Size,44R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1500,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,2-Piece,TRUE,,,Burgundy Suit 46R 2-Piece,KCT-BURGUNDY-46R-2P,,FALSE,TRUE,1500,,,,,,,Premium Wool Blend,165.59,179.99,Size,46R,Type,2-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
,suit-burgundy,Burgundy Suit,Premium Burgundy Suit - Bold & Sophisticated,"Make a statement with our rich burgundy suit. Perfect for special events, cocktail parties, and occasions where you want to stand out with sophisticated style.",published,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,1600,,,,6203.39.10,USA,,Premium Wool Blend,event-suits,suits,Burgundy,3-Piece,TRUE,,,Burgundy Suit 46R 3-Piece,KCT-BURGUNDY-46R-3P,,FALSE,TRUE,1600,,,,,,,Premium Wool Blend,183.99,199.99,Size,46R,Type,3-Piece,https://kct-menswear.com/images/suits/suit-burgundy-front.jpg,https://kct-menswear.com/images/suits/suit-burgundy-back.jpg
