Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 1 Url,Product Image 2 Url
,royal-blue-skinny-tie,Royal Blue Skinny Tie,,"Premium royal blue skinny tie perfect for modern formal wear. Adds a contemporary touch to business and formal attire.",published,https://images.kctmenswear.com/accessories/royal-blue-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Royal Blue Skinny Tie,KCT-TIE-ROYAL-SKINNY,,FALSE,TRUE,,,,,,,,,,24.99,Style,Skinny,,,https://images.kctmenswear.com/accessories/royal-blue-skinny-tie.jpg,
,red-skinny-tie,Red Skinny Tie,,"Bold red skinny tie that makes a statement. Perfect for business meetings and formal events where you want to stand out.",published,https://images.kctmenswear.com/accessories/red-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Red Skinny Tie,KCT-TIE-RED-SKINNY,,FALSE,TRUE,,,,,,,,,,24.99,Style,Skinny,,,https://images.kctmenswear.com/accessories/red-skinny-tie.jpg,
,black-skinny-tie,Black Skinny Tie,,"Classic black skinny tie - a versatile essential for any formal wardrobe. Works perfectly with all suit colors and formal occasions.",published,https://images.kctmenswear.com/accessories/black-skinny-tie.jpg,400,,,,,,,,coll_business_essentials,Tie,tie,TRUE,,,Black Skinny Tie,KCT-TIE-BLACK-SKINNY,,FALSE,TRUE,,,,,,,,,,15.00,Style,Skinny,,,https://images.kctmenswear.com/accessories/black-skinny-tie.jpg,
,royal-turtleneck-black-design,Royal Turtleneck With Black Design,,"Sophisticated royal blue turtleneck featuring elegant black design elements. Perfect for modern formal and semi-formal occasions.",published,https://images.kctmenswear.com/accessories/royal-turtleneck-black-design.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Royal Turtleneck With Black Design L,KCT-TURTLE-ROYAL-BLACK-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/accessories/royal-turtleneck-black-design.jpg,
,black-cardigan,Black Cardigan,,"Elegant black cardigan perfect for layering over dress shirts. Adds sophisticated warmth and style to any formal or business outfit.",published,https://images.kctmenswear.com/accessories/black-cardigan.jpg,400,,,,,,,,coll_business_essentials,Cardigan,cardigan,TRUE,,,Black Cardigan L,KCT-CARDIGAN-BLACK-L,,FALSE,TRUE,,,,,,,,,,149.99,Size,L,,,https://images.kctmenswear.com/accessories/black-cardigan.jpg,
,red-turtleneck,Red Turtleneck,,"Bold red turtleneck that adds a pop of color to your wardrobe. Perfect for casual formal occasions and contemporary styling.",published,https://images.kctmenswear.com/accessories/red-turtleneck.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Red Turtleneck L,KCT-TURTLE-RED-L,,FALSE,TRUE,,,,,,,,,,49.99,Size,L,,,https://images.kctmenswear.com/accessories/red-turtleneck.jpg,
,black-turtleneck,Black Turtleneck,,"Classic black turtleneck - a versatile essential that works with suits, blazers, or on its own. Perfect for modern professional styling.",published,https://images.kctmenswear.com/accessories/black-turtleneck.jpg,400,,,,,,,,coll_business_essentials,Turtleneck,turtleneck,TRUE,,,Black Turtleneck L,KCT-TURTLE-BLACK-L,,FALSE,TRUE,,,,,,,,,,49.99,Size,L,,,https://images.kctmenswear.com/accessories/black-turtleneck.jpg,
,slim-cut-white-dress-shirt,Slim Cut White Dress Shirt,,"Essential slim cut white dress shirt perfect for business and formal occasions. Features premium cotton construction and modern tailoring.",published,https://images.kctmenswear.com/shirts/slim-white-dress-shirt.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Slim Cut White Dress Shirt L,KCT-SHIRT-WHITE-SLIM-L,,FALSE,TRUE,,,,,,,,,,39.99,Size,L,,,https://images.kctmenswear.com/shirts/slim-white-dress-shirt.jpg,
,slim-cut-black-dress-shirt,Slim Cut Black Dress Shirt,,"Sophisticated slim cut black dress shirt for modern professionals. Perfect for evening events and contemporary business attire.",published,https://images.kctmenswear.com/shirts/slim-black-dress-shirt.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Slim Cut Black Dress Shirt L,KCT-SHIRT-BLACK-SLIM-L,,FALSE,TRUE,,,,,,,,,,39.99,Size,L,,,https://images.kctmenswear.com/shirts/slim-black-dress-shirt.jpg,
,royal-blue-satin-dress-shirt,Royal Blue Satin Dress Shirt,,"Regal elegance meets modern sophistication in this stunning royal blue satin dress shirt. Perfect for formal events and special occasions.",published,https://images.kctmenswear.com/shirts/royal-blue-satin.jpg,400,,,,,,,,coll_dress_shirts,Dress Shirt,dress-shirt,TRUE,,,Royal Blue Satin Dress Shirt L,KCT-SHIRT-ROYAL-SATIN-L,,FALSE,TRUE,,,,,,,,,,69.99,Size,L,,,https://images.kctmenswear.com/shirts/royal-blue-satin.jpg,
