Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,"Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3000,,,,,US,,Polyester Blend,,,double-breasted pin-stripe formal,TRUE,9736048476473,,36S,M396SK-02-36S,,FALSE,TRUE,3000,,,,,US,,Polyester Blend,159.99,174.99,Size,36S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,
,mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,"Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3000,,,,,US,,Polyester Blend,,,double-breasted pin-stripe formal,TRUE,9736048476473,,38R,M396SK-02-38R,,FALSE,TRUE,3000,,,,,US,,Polyester Blend,159.99,174.99,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,
,mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,"Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3000,,,,,US,,Polyester Blend,,,double-breasted pin-stripe formal,TRUE,9736048476473,,40R,M396SK-02-40R,,FALSE,TRUE,3000,,,,,US,,Polyester Blend,159.99,174.99,Size,40R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,
,mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,"Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3000,,,,,US,,Polyester Blend,,,double-breasted pin-stripe formal,TRUE,9736048476473,,42R,M396SK-02-42R,,FALSE,TRUE,3000,,,,,US,,Polyester Blend,159.99,174.99,Size,42R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,
,mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,"Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear. Modern fit with premium polyester blend fabric.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3000,,,,,US,,Polyester Blend,,,double-breasted pin-stripe formal,TRUE,9736048476473,,44R,M396SK-02-44R,,FALSE,TRUE,3000,,,,,US,,Polyester Blend,159.99,174.99,Size,44R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,
,mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,"Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3200,,,,,US,,Premium Polyester,,,double-breasted solid charcoal,TRUE,9776181510457,,36S,M404SK-03-36S,,FALSE,TRUE,3200,,,,,US,,Premium Polyester,229.99,250.00,Size,36S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,"Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3200,,,,,US,,Premium Polyester,,,double-breasted solid charcoal,TRUE,9776181510457,,38R,M404SK-03-38R,,FALSE,TRUE,3200,,,,,US,,Premium Polyester,229.99,250.00,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,"Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3200,,,,,US,,Premium Polyester,,,double-breasted solid charcoal,TRUE,9776181510457,,40R,M404SK-03-40R,,FALSE,TRUE,3200,,,,,US,,Premium Polyester,229.99,250.00,Size,40R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,"Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3200,,,,,US,,Premium Polyester,,,double-breasted solid charcoal,TRUE,9776181510457,,42R,M404SK-03-42R,,FALSE,TRUE,3200,,,,,US,,Premium Polyester,229.99,250.00,Size,42R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,"Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish. Features functional buttonholes and premium lining.",published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3200,,,,,US,,Premium Polyester,,,double-breasted solid charcoal,TRUE,9776181510457,,44R,M404SK-03-44R,,FALSE,TRUE,3200,,,,,US,,Premium Polyester,229.99,250.00,Size,44R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
