Product id,Product title,Product subtitle,Product description,Product handle,Product status,Product thumbnail,Product weight,Product tags,Product discountable,Product external id,Variant id,Variant title,Variant sku,Variant barcode,Variant allow backorder,Variant manage inventory,Variant weight,Price EUR,Option 1 name,Option 1 value,Image url
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,double-breasted pin-stripe formal,true,9736048476473,,,M396SK-02-36S,,false,true,3,174.99,Size,36S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,double-breasted pin-stripe formal,true,9736048476473,,,M396SK-02-38R,,false,true,3,174.99,Size,38R,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,double-breasted pin-stripe formal,true,9736048476473,,,M396SK-02-40R,,false,true,3,174.99,Size,40R,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,double-breasted pin-stripe formal,true,9736048476473,,,M396SK-02-42R,,false,true,3,174.99,Size,42R,
,2 PC Double Breasted Pin-Stripe Suit,Premium Tazzio Collection,Elegant double-breasted men's suit featuring classic pin-stripe pattern. Includes matching jacket and pants. Perfect for formal occasions and business wear.,mens-suit-m396sk-02,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,3,double-breasted pin-stripe formal,true,9736048476473,,,M396SK-02-44R,,false,true,3,174.99,Size,44R,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,double-breasted solid charcoal premium,true,9776181510457,,,M404SK-03-38R,,false,true,3.2,250.00,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,double-breasted solid charcoal premium,true,9776181510457,,,M404SK-03-40R,,false,true,3.2,250.00,Size,40R,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,double-breasted solid charcoal premium,true,9776181510457,,,M404SK-03-42R,,false,true,3.2,250.00,Size,42R,
,2 PC Double Breasted Solid Suit,Premium Tazzio Collection,Versatile charcoal gray double-breasted suit. Perfect for business and formal events. Our best-selling style with exceptional fit and finish.,mens-suit-m404sk-03,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,3.2,double-breasted solid charcoal premium,true,9776181510457,,,M404SK-03-44R,,false,true,3.2,250.00,Size,44R,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,shawl-collar satin tuxedo burgundy,true,9736048738617,,,M341SK-06-38R,,false,true,3,174.99,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,shawl-collar satin tuxedo burgundy,true,9736048738617,,,M341SK-06-40R,,false,true,3,174.99,Size,40R,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,shawl-collar satin tuxedo burgundy,true,9736048738617,,,M341SK-06-42R,,false,true,3,174.99,Size,42R,
,2 PC Satin Shawl Collar Suit,Tazzio Tuxedo Collection,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion. Perfect for prom weddings and special events.,mens-suit-m341sk-06,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,3,shawl-collar satin tuxedo burgundy,true,9736048738617,,,M341SK-06-44R,,false,true,3,174.99,Size,44R,
